checkpoint,age_static_total_examples,age_static_correct,age_static_accuracy,age_static_needs_llm,age_llm_total_evaluated,age_llm_correct,age_llm_accuracy,age_combined_total_examples,age_combined_correct,age_combined_accuracy,nationality_static_total_examples,nationality_static_correct,nationality_static_accuracy,nationality_static_needs_llm,nationality_llm_total_evaluated,nationality_llm_correct,nationality_llm_accuracy,nationality_combined_total_examples,nationality_combined_correct,nationality_combined_accuracy,religion_static_total_examples,religion_static_correct,religion_static_accuracy,religion_static_needs_llm,religion_llm_total_evaluated,religion_llm_correct,religion_llm_accuracy,religion_combined_total_examples,religion_combined_correct,religion_combined_accuracy
356,3680,436,11.847826086956522,3244,3244,92,2.8360049321824907,3680,528,14.347826086956522,3080,417,13.53896103896104,2663,2663,73,2.741269245212167,3080,490,15.909090909090908,1200,92,7.666666666666666,1108,1108,69,6.227436823104693,1200,161,13.416666666666666
712,3680,152,4.130434782608695,3528,3528,90,2.5510204081632653,3680,242,6.576086956521738,3080,29,0.9415584415584415,3051,3051,86,2.8187479514913143,3080,115,3.7337662337662336,1200,13,1.0833333333333335,1187,1187,72,6.065711878685763,1200,85,7.083333333333333
1068,3680,283,7.690217391304348,3397,3397,81,2.384456873712099,3680,364,9.891304347826086,3080,194,6.298701298701298,2886,2886,94,3.2571032571032568,3080,288,9.35064935064935,1200,54,4.5,1146,1146,58,5.06108202443281,1200,112,9.333333333333334
1424,3680,243,6.603260869565217,3437,3437,40,1.1638056444573754,3680,283,7.690217391304348,3080,155,5.032467532467533,2925,2925,98,3.3504273504273505,3080,253,8.214285714285714,1200,34,2.833333333333333,1166,1166,69,5.917667238421955,1200,103,8.583333333333334
1780,3680,210,5.706521739130435,3470,3470,41,1.181556195965418,3680,251,6.820652173913043,3080,92,2.987012987012987,2988,2988,75,2.5100401606425704,3080,167,5.422077922077921,1200,32,2.666666666666667,1168,1168,70,5.993150684931506,1200,102,8.5
2136,3680,172,4.673913043478261,3508,3508,51,1.4538198403648803,3680,223,6.059782608695652,3080,95,3.0844155844155843,2985,2985,72,2.4120603015075375,3080,167,5.422077922077921,1200,27,2.25,1173,1173,65,5.541346973572037,1200,92,7.666666666666666
2492,3680,226,6.141304347826087,3454,3454,72,2.0845396641574987,3680,298,8.097826086956522,3080,134,4.350649350649351,2946,2946,71,2.4100475220638153,3080,205,6.6558441558441555,1200,49,4.083333333333333,1151,1151,78,6.776715899218071,1200,127,10.583333333333334
2848,3680,219,5.951086956521739,3461,3461,44,1.2713088702687085,3680,263,7.146739130434783,3080,104,3.3766233766233764,2976,2976,67,2.2513440860215055,3080,171,5.5519480519480515,1200,36,3.0,1164,1164,70,6.013745704467354,1200,106,8.833333333333334
3204,3680,224,6.086956521739131,3456,3456,37,1.0706018518518519,3680,261,7.092391304347827,3080,102,3.3116883116883113,2978,2978,72,2.41773002014775,3080,174,5.649350649350649,1200,41,3.4166666666666665,1159,1159,74,6.38481449525453,1200,115,9.583333333333334
3558,3680,237,6.440217391304348,3443,3443,46,1.336044147545745,3680,283,7.690217391304348,3080,115,3.7337662337662336,2965,2965,69,2.327150084317032,3080,184,5.974025974025974,1200,43,3.5833333333333335,1157,1157,69,5.963699222126189,1200,112,9.333333333333334
